week_end,indicator,high_industry,value
24/11/2019,Number of Paid Jobs - 27 days,B Goods Producing,418750
24/11/2019,Number of Paid Jobs - 27 days,C Services,1670780
24/11/2019,Number of Paid Jobs - 27 days,Total,2234590
01/12/2019,Number of Paid Jobs - 6 days,A Primary,81590
01/12/2019,Number of Paid Jobs - 6 days,B Goods Producing,360300
01/12/2019,Number of Paid Jobs - 6 days,C Services,1269570
01/12/2019,Number of Paid Jobs - 6 days,Total,1728530
01/12/2019,Number of Paid Jobs - 13 days,A Primary,106440
01/12/2019,Number of Paid Jobs - 13 days,B Goods Producing,415400
01/12/2019,Number of Paid Jobs - 13 days,C Services,1606790
01/12/2019,Number of Paid Jobs - 13 days,Total,2155650
01/12/2019,Number of Paid Jobs - 27 days,A Primary,111650
01/12/2019,Number of Paid Jobs - 27 days,B Goods Producing,421680
01/12/2019,Number of Paid Jobs - 27 days,C Services,1668730
01/12/2019,Number of Paid Jobs - 27 days,Total,2239060
08/12/2019,Number of Paid Jobs - 6 days,A Primary,76790
08/12/2019,Number of Paid Jobs - 6 days,B Goods Producing,340470
08/12/2019,Number of Paid Jobs - 6 days,C Services,1195150
08/12/2019,Number of Paid Jobs - 6 days,Total,1629040
08/12/2019,Number of Paid Jobs - 13 days,A Primary,103410
08/12/2019,Number of Paid Jobs - 13 days,B Goods Producing,410240
08/12/2019,Number of Paid Jobs - 13 days,C Services,1601830
08/12/2019,Number of Paid Jobs - 13 days,Total,2150140
08/12/2019,Number of Paid Jobs - 27 days,A Primary,108870
08/12/2019,Number of Paid Jobs - 27 days,B Goods Producing,417100
08/12/2019,Number of Paid Jobs - 27 days,C Services,1649590
08/12/2019,Number of Paid Jobs - 27 days,Total,2212250
15/12/2019,Number of Paid Jobs - 6 days,A Primary,85570
15/12/2019,Number of Paid Jobs - 6 days,B Goods Producing,379030
15/12/2019,Number of Paid Jobs - 6 days,C Services,1236440
15/12/2019,Number of Paid Jobs - 6 days,Total,1731220
15/12/2019,Number of Paid Jobs - 13 days,A Primary,106000
15/12/2019,Number of Paid Jobs - 13 days,B Goods Producing,409770
15/12/2019,Number of Paid Jobs - 13 days,C Services,1475730
15/12/2019,Number of Paid Jobs - 13 days,Total,2026540
15/12/2019,Number of Paid Jobs - 27 days,A Primary,111890
15/12/2019,Number of Paid Jobs - 27 days,B Goods Producing,418870
15/12/2019,Number of Paid Jobs - 27 days,C Services,1665930
15/12/2019,Number of Paid Jobs - 27 days,Total,2233900
22/12/2019,Number of Paid Jobs - 6 days,A Primary,82820
22/12/2019,Number of Paid Jobs - 6 days,B Goods Producing,353410
22/12/2019,Number of Paid Jobs - 6 days,C Services,1244050
22/12/2019,Number of Paid Jobs - 6 days,Total,1703640
22/12/2019,Number of Paid Jobs - 13 days,A Primary,101360
22/12/2019,Number of Paid Jobs - 13 days,B Goods Producing,385220
22/12/2019,Number of Paid Jobs - 13 days,C Services,1468320
22/12/2019,Number of Paid Jobs - 13 days,Total,1982310
22/12/2019,Number of Paid Jobs - 27 days,A Primary,111310
22/12/2019,Number of Paid Jobs - 27 days,B Goods Producing,416150
22/12/2019,Number of Paid Jobs - 27 days,C Services,1653850
22/12/2019,Number of Paid Jobs - 27 days,Total,2212580
29/12/2019,Number of Paid Jobs - 6 days,A Primary,72090
29/12/2019,Number of Paid Jobs - 6 days,B Goods Producing,312710
29/12/2019,Number of Paid Jobs - 6 days,C Services,1118830
29/12/2019,Number of Paid Jobs - 6 days,Total,1516420
29/12/2019,Number of Paid Jobs - 13 days,A Primary,97420
29/12/2019,Number of Paid Jobs - 13 days,B Goods Producing,382100
29/12/2019,Number of Paid Jobs - 13 days,C Services,1502430
29/12/2019,Number of Paid Jobs - 13 days,Total,2001230
29/12/2019,Number of Paid Jobs - 27 days,A Primary,104160
29/12/2019,Number of Paid Jobs - 27 days,B Goods Producing,394530
29/12/2019,Number of Paid Jobs - 27 days,C Services,1588770
29/12/2019,Number of Paid Jobs - 27 days,Total,2124990
05/01/2020,Number of Paid Jobs - 6 days,A Primary,77360
05/01/2020,Number of Paid Jobs - 6 days,B Goods Producing,342800
05/01/2020,Number of Paid Jobs - 6 days,C Services,1176840
05/01/2020,Number of Paid Jobs - 6 days,Total,1624390
05/01/2020,Number of Paid Jobs - 13 days,A Primary,99370
05/01/2020,Number of Paid Jobs - 13 days,B Goods Producing,385830
05/01/2020,Number of Paid Jobs - 13 days,C Services,1521840
05/01/2020,Number of Paid Jobs - 13 days,Total,2039630
05/01/2020,Number of Paid Jobs - 27 days,A Primary,104270
05/01/2020,Number of Paid Jobs - 27 days,B Goods Producing,394680
05/01/2020,Number of Paid Jobs - 27 days,C Services,1583990
05/01/2020,Number of Paid Jobs - 27 days,Total,2120980
12/01/2020,Number of Paid Jobs - 6 days,A Primary,77230
12/01/2020,Number of Paid Jobs - 6 days,B Goods Producing,334300
12/01/2020,Number of Paid Jobs - 6 days,C Services,1174660
12/01/2020,Number of Paid Jobs - 6 days,Total,1616540
12/01/2020,Number of Paid Jobs - 13 days,A Primary,100700
12/01/2020,Number of Paid Jobs - 13 days,B Goods Producing,389460
12/01/2020,Number of Paid Jobs - 13 days,C Services,1484940
12/01/2020,Number of Paid Jobs - 13 days,Total,2011840
12/01/2020,Number of Paid Jobs - 27 days,A Primary,107020
12/01/2020,Number of Paid Jobs - 27 days,B Goods Producing,400070
12/01/2020,Number of Paid Jobs - 27 days,C Services,1572910
12/01/2020,Number of Paid Jobs - 27 days,Total,2119150
19/01/2020,Number of Paid Jobs - 6 days,A Primary,81480
19/01/2020,Number of Paid Jobs - 6 days,B Goods Producing,365430
19/01/2020,Number of Paid Jobs - 6 days,C Services,1209250
19/01/2020,Number of Paid Jobs - 6 days,Total,1688310
19/01/2020,Number of Paid Jobs - 13 days,A Primary,104010
19/01/2020,Number of Paid Jobs - 13 days,B Goods Producing,401850
19/01/2020,Number of Paid Jobs - 13 days,C Services,1536460
19/01/2020,Number of Paid Jobs - 13 days,Total,2080120
19/01/2020,Number of Paid Jobs - 27 days,A Primary,109310
19/01/2020,Number of Paid Jobs - 27 days,B Goods Producing,412410
19/01/2020,Number of Paid Jobs - 27 days,C Services,1599960
19/01/2020,Number of Paid Jobs - 27 days,Total,2162320
26/01/2020,Number of Paid Jobs - 6 days,A Primary,82460
26/01/2020,Number of Paid Jobs - 6 days,B Goods Producing,359150
26/01/2020,Number of Paid Jobs - 6 days,C Services,1262170
26/01/2020,Number of Paid Jobs - 6 days,Total,1735790
26/01/2020,Number of Paid Jobs - 13 days,A Primary,104010
26/01/2020,Number of Paid Jobs - 13 days,B Goods Producing,407540
26/01/2020,Number of Paid Jobs - 13 days,C Services,1554100
26/01/2020,Number of Paid Jobs - 13 days,Total,2103380
26/01/2020,Number of Paid Jobs - 27 days,A Primary,109100
26/01/2020,Number of Paid Jobs - 27 days,B Goods Producing,416170
26/01/2020,Number of Paid Jobs - 27 days,C Services,1616580
26/01/2020,Number of Paid Jobs - 27 days,Total,2184850
02/02/2020,Number of Paid Jobs - 6 days,A Primary,80970
02/02/2020,Number of Paid Jobs - 6 days,B Goods Producing,364980
02/02/2020,Number of Paid Jobs - 6 days,C Services,1241960
02/02/2020,Number of Paid Jobs - 6 days,Total,1722410
02/02/2020,Number of Paid Jobs - 13 days,A Primary,102430
02/02/2020,Number of Paid Jobs - 13 days,B Goods Producing,409740
02/02/2020,Number of Paid Jobs - 13 days,C Services,1584670
02/02/2020,Number of Paid Jobs - 13 days,Total,2138540
02/02/2020,Number of Paid Jobs - 27 days,A Primary,107510
02/02/2020,Number of Paid Jobs - 27 days,B Goods Producing,419080
02/02/2020,Number of Paid Jobs - 27 days,C Services,1626590
02/02/2020,Number of Paid Jobs - 27 days,Total,2197140
09/02/2020,Number of Paid Jobs - 6 days,A Primary,73040
09/02/2020,Number of Paid Jobs - 6 days,B Goods Producing,331280
09/02/2020,Number of Paid Jobs - 6 days,C Services,1115220
09/02/2020,Number of Paid Jobs - 6 days,Total,1550480
09/02/2020,Number of Paid Jobs - 13 days,A Primary,96130
09/02/2020,Number of Paid Jobs - 13 days,B Goods Producing,404620
09/02/2020,Number of Paid Jobs - 13 days,C Services,1455670
09/02/2020,Number of Paid Jobs - 13 days,Total,1993140
09/02/2020,Number of Paid Jobs - 27 days,A Primary,102730
09/02/2020,Number of Paid Jobs - 27 days,B Goods Producing,416840
09/02/2020,Number of Paid Jobs - 27 days,C Services,1627670
09/02/2020,Number of Paid Jobs - 27 days,Total,2186250
16/02/2020,Number of Paid Jobs - 6 days,A Primary,77190
16/02/2020,Number of Paid Jobs - 6 days,B Goods Producing,368800
16/02/2020,Number of Paid Jobs - 6 days,C Services,1144530
16/02/2020,Number of Paid Jobs - 6 days,Total,1612770
16/02/2020,Number of Paid Jobs - 13 days,A Primary,94740
16/02/2020,Number of Paid Jobs - 13 days,B Goods Producing,401910
16/02/2020,Number of Paid Jobs - 13 days,C Services,1532740
16/02/2020,Number of Paid Jobs - 13 days,Total,2056040
16/02/2020,Number of Paid Jobs - 27 days,A Primary,100950
16/02/2020,Number of Paid Jobs - 27 days,B Goods Producing,412520
16/02/2020,Number of Paid Jobs - 27 days,C Services,1594120
16/02/2020,Number of Paid Jobs - 27 days,Total,2137410
23/02/2020,Number of Paid Jobs - 6 days,A Primary,70950
23/02/2020,Number of Paid Jobs - 6 days,B Goods Producing,331580
23/02/2020,Number of Paid Jobs - 6 days,C Services,1183920
23/02/2020,Number of Paid Jobs - 6 days,Total,1607700
23/02/2020,Number of Paid Jobs - 13 days,A Primary,93970
23/02/2020,Number of Paid Jobs - 13 days,B Goods Producing,386070
23/02/2020,Number of Paid Jobs - 13 days,C Services,1499460
23/02/2020,Number of Paid Jobs - 13 days,Total,2006880
23/02/2020,Number of Paid Jobs - 27 days,A Primary,98020
23/02/2020,Number of Paid Jobs - 27 days,B Goods Producing,392850
23/02/2020,Number of Paid Jobs - 27 days,C Services,1555460
23/02/2020,Number of Paid Jobs - 27 days,Total,2076410
01/03/2020,Number of Paid Jobs - 6 days,A Primary,78980
01/03/2020,Number of Paid Jobs - 6 days,B Goods Producing,372030
01/03/2020,Number of Paid Jobs - 6 days,C Services,1267330
01/03/2020,Number of Paid Jobs - 6 days,Total,1737310
01/03/2020,Number of Paid Jobs - 13 days,A Primary,98910
01/03/2020,Number of Paid Jobs - 13 days,B Goods Producing,409670
01/03/2020,Number of Paid Jobs - 13 days,C Services,1598950
01/03/2020,Number of Paid Jobs - 13 days,Total,2139500
01/03/2020,Number of Paid Jobs - 27 days,A Primary,103370
01/03/2020,Number of Paid Jobs - 27 days,B Goods Producing,418510
01/03/2020,Number of Paid Jobs - 27 days,C Services,1659700
01/03/2020,Number of Paid Jobs - 27 days,Total,2219710
08/03/2020,Number of Paid Jobs - 6 days,A Primary,73050
08/03/2020,Number of Paid Jobs - 6 days,B Goods Producing,331180
08/03/2020,Number of Paid Jobs - 6 days,C Services,1195020
08/03/2020,Number of Paid Jobs - 6 days,Total,1626730
08/03/2020,Number of Paid Jobs - 13 days,A Primary,94900
08/03/2020,Number of Paid Jobs - 13 days,B Goods Producing,401920
08/03/2020,Number of Paid Jobs - 13 days,C Services,1560030
08/03/2020,Number of Paid Jobs - 13 days,Total,2090080
08/03/2020,Number of Paid Jobs - 27 days,A Primary,101560
08/03/2020,Number of Paid Jobs - 27 days,B Goods Producing,415690
08/03/2020,Number of Paid Jobs - 27 days,C Services,1648600
08/03/2020,Number of Paid Jobs - 27 days,Total,2202400
15/03/2020,Number of Paid Jobs - 6 days,A Primary,77550
15/03/2020,Number of Paid Jobs - 6 days,B Goods Producing,362530
15/03/2020,Number of Paid Jobs - 6 days,C Services,1218010
15/03/2020,Number of Paid Jobs - 6 days,Total,1679950
15/03/2020,Number of Paid Jobs - 13 days,A Primary,96280
15/03/2020,Number of Paid Jobs - 13 days,B Goods Producing,406170
15/03/2020,Number of Paid Jobs - 13 days,C Services,1563620
15/03/2020,Number of Paid Jobs - 13 days,Total,2094560
15/03/2020,Number of Paid Jobs - 27 days,A Primary,102040
15/03/2020,Number of Paid Jobs - 27 days,B Goods Producing,416520
15/03/2020,Number of Paid Jobs - 27 days,C Services,1645410
15/03/2020,Number of Paid Jobs - 27 days,Total,2195650
22/03/2020,Number of Paid Jobs - 6 days,A Primary,77100
22/03/2020,Number of Paid Jobs - 6 days,B Goods Producing,357050
22/03/2020,Number of Paid Jobs - 6 days,C Services,1177310
22/03/2020,Number of Paid Jobs - 6 days,Total,1651010
22/03/2020,Number of Paid Jobs - 13 days,A Primary,99180
22/03/2020,Number of Paid Jobs - 13 days,B Goods Producing,410310
22/03/2020,Number of Paid Jobs - 13 days,C Services,1600840
22/03/2020,Number of Paid Jobs - 13 days,Total,2156680
22/03/2020,Number of Paid Jobs - 27 days,A Primary,102190
22/03/2020,Number of Paid Jobs - 27 days,B Goods Producing,416810
22/03/2020,Number of Paid Jobs - 27 days,C Services,1648630
22/03/2020,Number of Paid Jobs - 27 days,Total,2215910
29/03/2020,Number of Paid Jobs - 6 days,A Primary,77820
29/03/2020,Number of Paid Jobs - 6 days,B Goods Producing,369430
29/03/2020,Number of Paid Jobs - 6 days,C Services,1245010
29/03/2020,Number of Paid Jobs - 6 days,Total,1737670
29/03/2020,Number of Paid Jobs - 13 days,A Primary,94510
29/03/2020,Number of Paid Jobs - 13 days,B Goods Producing,403130
29/03/2020,Number of Paid Jobs - 13 days,C Services,1528150
29/03/2020,Number of Paid Jobs - 13 days,Total,2076430
29/03/2020,Number of Paid Jobs - 27 days,A Primary,101080
29/03/2020,Number of Paid Jobs - 27 days,B Goods Producing,414920
29/03/2020,Number of Paid Jobs - 27 days,C Services,1638590
29/03/2020,Number of Paid Jobs - 27 days,Total,2207880
05/04/2020,Number of Paid Jobs - 6 days,A Primary,71530
05/04/2020,Number of Paid Jobs - 6 days,B Goods Producing,334200
05/04/2020,Number of Paid Jobs - 6 days,C Services,1088400
05/04/2020,Number of Paid Jobs - 6 days,Total,1528640
05/04/2020,Number of Paid Jobs - 13 days,A Primary,89580
05/04/2020,Number of Paid Jobs - 13 days,B Goods Producing,380800
05/04/2020,Number of Paid Jobs - 13 days,C Services,1473620
05/04/2020,Number of Paid Jobs - 13 days,Total,1991650
05/04/2020,Number of Paid Jobs - 27 days,A Primary,99240
05/04/2020,Number of Paid Jobs - 27 days,B Goods Producing,408170
05/04/2020,Number of Paid Jobs - 27 days,C Services,1621800
05/04/2020,Number of Paid Jobs - 27 days,Total,2179730
12/04/2020,Number of Paid Jobs - 6 days,A Primary,57020
12/04/2020,Number of Paid Jobs - 6 days,B Goods Producing,268300
12/04/2020,Number of Paid Jobs - 6 days,C Services,967040
12/04/2020,Number of Paid Jobs - 6 days,Total,1320630
12/04/2020,Number of Paid Jobs - 13 days,A Primary,86650
12/04/2020,Number of Paid Jobs - 13 days,B Goods Producing,365270
12/04/2020,Number of Paid Jobs - 13 days,C Services,1438720
12/04/2020,Number of Paid Jobs - 13 days,Total,1925430
12/04/2020,Number of Paid Jobs - 27 days,A Primary,95010
12/04/2020,Number of Paid Jobs - 27 days,B Goods Producing,402570
12/04/2020,Number of Paid Jobs - 27 days,C Services,1591170
12/04/2020,Number of Paid Jobs - 27 days,Total,2127110
19/04/2020,Number of Paid Jobs - 6 days,A Primary,68550
19/04/2020,Number of Paid Jobs - 6 days,B Goods Producing,318640
19/04/2020,Number of Paid Jobs - 6 days,C Services,1152790
19/04/2020,Number of Paid Jobs - 6 days,Total,1553580
19/04/2020,Number of Paid Jobs - 13 days,A Primary,88250
19/04/2020,Number of Paid Jobs - 13 days,B Goods Producing,379030
19/04/2020,Number of Paid Jobs - 13 days,C Services,1454090
19/04/2020,Number of Paid Jobs - 13 days,Total,1940510
19/04/2020,Number of Paid Jobs - 27 days,A Primary,95080
19/04/2020,Number of Paid Jobs - 27 days,B Goods Producing,399050
19/04/2020,Number of Paid Jobs - 27 days,C Services,1569130
19/04/2020,Number of Paid Jobs - 27 days,Total,2093520
26/04/2020,Number of Paid Jobs - 6 days,A Primary,70850
26/04/2020,Number of Paid Jobs - 6 days,B Goods Producing,336030
26/04/2020,Number of Paid Jobs - 6 days,C Services,1149440
26/04/2020,Number of Paid Jobs - 6 days,Total,1570900
26/04/2020,Number of Paid Jobs - 13 days,A Primary,89880
26/04/2020,Number of Paid Jobs - 13 days,B Goods Producing,379330
26/04/2020,Number of Paid Jobs - 13 days,C Services,1437840
26/04/2020,Number of Paid Jobs - 13 days,Total,1935340
26/04/2020,Number of Paid Jobs - 27 days,A Primary,97400
26/04/2020,Number of Paid Jobs - 27 days,B Goods Producing,396390
26/04/2020,Number of Paid Jobs - 27 days,C Services,1575660
26/04/2020,Number of Paid Jobs - 27 days,Total,2107540
03/05/2020,Number of Paid Jobs - 6 days,A Primary,69250
03/05/2020,Number of Paid Jobs - 6 days,B Goods Producing,329040
03/05/2020,Number of Paid Jobs - 6 days,C Services,1157160
03/05/2020,Number of Paid Jobs - 6 days,Total,1583650
03/05/2020,Number of Paid Jobs - 13 days,A Primary,89850
03/05/2020,Number of Paid Jobs - 13 days,B Goods Producing,379340
03/05/2020,Number of Paid Jobs - 13 days,C Services,1480300
03/05/2020,Number of Paid Jobs - 13 days,Total,1983470
03/05/2020,Number of Paid Jobs - 27 days,A Primary,98660
03/05/2020,Number of Paid Jobs - 27 days,B Goods Producing,413820
03/05/2020,Number of Paid Jobs - 27 days,C Services,1635160
03/05/2020,Number of Paid Jobs - 27 days,Total,2192520
10/05/2020,Number of Paid Jobs - 6 days,A Primary,65780
10/05/2020,Number of Paid Jobs - 6 days,B Goods Producing,315840
10/05/2020,Number of Paid Jobs - 6 days,C Services,1104430
10/05/2020,Number of Paid Jobs - 6 days,Total,1513030
10/05/2020,Number of Paid Jobs - 13 days,A Primary,87390
10/05/2020,Number of Paid Jobs - 13 days,B Goods Producing,376490
10/05/2020,Number of Paid Jobs - 13 days,C Services,1468160
10/05/2020,Number of Paid Jobs - 13 days,Total,1970330
10/05/2020,Number of Paid Jobs - 27 days,A Primary,96520
10/05/2020,Number of Paid Jobs - 27 days,B Goods Producing,410310
10/05/2020,Number of Paid Jobs - 27 days,C Services,1623620
10/05/2020,Number of Paid Jobs - 27 days,Total,2174890
17/05/2020,Number of Paid Jobs - 6 days,A Primary,69350
17/05/2020,Number of Paid Jobs - 6 days,B Goods Producing,325580
17/05/2020,Number of Paid Jobs - 6 days,C Services,1179690
17/05/2020,Number of Paid Jobs - 6 days,Total,1605960
17/05/2020,Number of Paid Jobs - 13 days,A Primary,91590
17/05/2020,Number of Paid Jobs - 13 days,B Goods Producing,400710
17/05/2020,Number of Paid Jobs - 13 days,C Services,1559600
17/05/2020,Number of Paid Jobs - 13 days,Total,2101970
17/05/2020,Number of Paid Jobs - 27 days,A Primary,97110
17/05/2020,Number of Paid Jobs - 27 days,B Goods Producing,412240
17/05/2020,Number of Paid Jobs - 27 days,C Services,1626640
17/05/2020,Number of Paid Jobs - 27 days,Total,2189500
24/05/2020,Number of Paid Jobs - 6 days,A Primary,72640
24/05/2020,Number of Paid Jobs - 6 days,B Goods Producing,364800
24/05/2020,Number of Paid Jobs - 6 days,C Services,1252790
24/05/2020,Number of Paid Jobs - 6 days,Total,1740690
24/05/2020,Number of Paid Jobs - 13 days,A Primary,92960
24/05/2020,Number of Paid Jobs - 13 days,B Goods Producing,405640
24/05/2020,Number of Paid Jobs - 13 days,C Services,1596340
24/05/2020,Number of Paid Jobs - 13 days,Total,2152470
24/05/2020,Number of Paid Jobs - 27 days,A Primary,97980
24/05/2020,Number of Paid Jobs - 27 days,B Goods Producing,412930
24/05/2020,Number of Paid Jobs - 27 days,C Services,1636540
24/05/2020,Number of Paid Jobs - 27 days,Total,2208160
31/05/2020,Number of Paid Jobs - 6 days,A Primary,72920
31/05/2020,Number of Paid Jobs - 6 days,B Goods Producing,358120
31/05/2020,Number of Paid Jobs - 6 days,C Services,1307950
31/05/2020,Number of Paid Jobs - 6 days,Total,1791040
31/05/2020,Number of Paid Jobs - 13 days,A Primary,92800
31/05/2020,Number of Paid Jobs - 13 days,B Goods Producing,403730
31/05/2020,Number of Paid Jobs - 13 days,C Services,1588410
31/05/2020,Number of Paid Jobs - 13 days,Total,2144070
31/05/2020,Number of Paid Jobs - 27 days,A Primary,98780
31/05/2020,Number of Paid Jobs - 27 days,B Goods Producing,415440
31/05/2020,Number of Paid Jobs - 27 days,C Services,1641720
31/05/2020,Number of Paid Jobs - 27 days,Total,2207950
07/06/2020,Number of Paid Jobs - 6 days,A Primary,66910
07/06/2020,Number of Paid Jobs - 6 days,B Goods Producing,324400
07/06/2020,Number of Paid Jobs - 6 days,C Services,1162590
07/06/2020,Number of Paid Jobs - 6 days,Total,1604130
07/06/2020,Number of Paid Jobs - 13 days,A Primary,88000
07/06/2020,Number of Paid Jobs - 13 days,B Goods Producing,395030
07/06/2020,Number of Paid Jobs - 13 days,C Services,1543700
07/06/2020,Number of Paid Jobs - 13 days,Total,2084530
07/06/2020,Number of Paid Jobs - 27 days,A Primary,96890
07/06/2020,Number of Paid Jobs - 27 days,B Goods Producing,412320
07/06/2020,Number of Paid Jobs - 27 days,C Services,1635500
07/06/2020,Number of Paid Jobs - 27 days,Total,2197170
14/06/2020,Number of Paid Jobs - 6 days,A Primary,68240
14/06/2020,Number of Paid Jobs - 6 days,B Goods Producing,350460
14/06/2020,Number of Paid Jobs - 6 days,C Services,1167680
14/06/2020,Number of Paid Jobs - 6 days,Total,1638080
14/06/2020,Number of Paid Jobs - 13 days,A Primary,89810
14/06/2020,Number of Paid Jobs - 13 days,B Goods Producing,401620
14/06/2020,Number of Paid Jobs - 13 days,C Services,1577890
14/06/2020,Number of Paid Jobs - 13 days,Total,2119590
21/06/2020,Number of Paid Jobs - 6 days,A Primary,70760
21/06/2020,Number of Paid Jobs - 6 days,B Goods Producing,360930
21/06/2020,Number of Paid Jobs - 6 days,C Services,1261380
21/06/2020,Number of Paid Jobs - 6 days,Total,1738270
21/06/2020,Number of Paid Jobs - 13 days,A Primary,91610
21/06/2020,Number of Paid Jobs - 13 days,B Goods Producing,403760
21/06/2020,Number of Paid Jobs - 13 days,C Services,1598980
21/06/2020,Number of Paid Jobs - 13 days,Total,2146320
28/06/2020,Number of Paid Jobs - 6 days,A Primary,71780
28/06/2020,Number of Paid Jobs - 6 days,B Goods Producing,356120
28/06/2020,Number of Paid Jobs - 6 days,C Services,1295970
28/06/2020,Number of Paid Jobs - 6 days,Total,1770890
